,from_dest,co2_emissions,price,from_airport_code,dest_airport_code,distance
292,"MEL,SEA",1403000.0,1147.0,MEL,SEA,13174.146054355586
293,"MEL,ZRH",1874000.0,1696.0,MEL,ZRH,16327.961264313184
294,"VIE,CNF",1200000.0,933.0,VIE,CNF,9629.682558126593
295,"MEL,JFK",1982000.0,1433.0,MEL,JFK,16695.45630860979
296,"VIE,SYD",1879000.0,1377.0,VIE,SYD,15965.20819896152
297,"VIE,SCL",1383500.0,1179.0,VIE,SCL,12518.498423992398
298,"MEL,SGN",886000.0,740.0,MEL,SGN,6698.768689523354
299,"VIE,GRU",1135000.0,889.5,VIE,GRU,10124.506139624102
300,"VIE,AEP",1322000.0,1656.0,VIE,AEP,11814.46386613374
301,"VIE,SZX",1402000.0,6057.0,VIE,SZX,8666.925195897345
302,"VIE,YYZ",753000.0,1123.0,VIE,YYZ,6948.277850150884
303,"VIE,BRU",215000.0,425.5,VIE,BRU,924.8848269815312
304,"VIE,VCP",964000.0,1124.0,VIE,VCP,10126.662614632902
305,"VIE,DUB",236000.0,288.0,VIE,DUB,1702.4454760599947
306,"VIE,CTU",1378500.0,4631.0,VIE,CTU,7350.900188146953
307,"VIE,SHA",1335000.0,5300.0,VIE,SHA,8463.153010444887
308,"VIE,HGH",1204000.0,5644.5,VIE,HGH,8486.022826286997
309,"VIE,CPH",225000.0,417.0,VIE,CPH,876.6409275831495
310,"VIE,CDG",207000.0,472.0,VIE,CDG,1035.0912784581417
311,"VIE,CAN",1125500.0,15355.0,VIE,CAN,8569.864576963299
312,"VIE,ADD",570000.0,780.0,VIE,ADD,4824.966469510499
313,"VIE,PEK",1331000.0,4098.0,VIE,PEK,7451.941094651788
314,"VIE,MUC",196000.0,338.0,VIE,MUC,355.2895158036429
315,"VIE,BOM",801000.0,1043.0,VIE,BOM,5958.873807358855
316,"VIE,PVG",1178000.0,2844.0,VIE,PVG,8497.310438584978
317,"VIE,BOG",1034000.0,1195.0,VIE,BOG,9671.66424106826
318,"VIE,MXP",228000.0,389.0,VIE,MXP,656.3749230699372
319,"VIE,DEL",726000.0,1053.0,VIE,DEL,5546.00770156694
320,"VIE,CAI",385000.0,457.0,VIE,CAI,2365.3855069103765
321,"VIE,NBO",738000.0,683.0,VIE,NBO,5838.330898033405
322,"VIE,CGK",1201000.0,1328.0,VIE,CGK,10520.559189122216
323,"VIE,FRA",200000.0,404.0,VIE,FRA,620.3131301170058
324,"VIE,CMN",352000.0,483.0,VIE,CMN,2594.2639282855653
325,"VIE,NRT",1075000.0,1867.0,VIE,NRT,9154.036104091858
326,"VIE,ATH",279000.0,350.0,VIE,ATH,1278.894647042945
327,"VIE,PTY",1148000.0,1317.0,VIE,PTY,9695.332130462954
328,"VIE,MEX",1077000.0,1379.0,VIE,MEX,10165.305763559045
329,"VIE,BLR",905000.0,1454.0,VIE,BLR,6790.494105662836
330,"VIE,LIS",298000.0,401.0,VIE,LIS,2305.0083667849885
331,"VIE,HND",1264000.0,1723.0,VIE,HND,9142.816256623895
332,"VIE,OSL",241000.0,295.0,VIE,OSL,1381.9510739903717
333,"VIE,SVO",547000.0,1968.0,VIE,SVO,1662.543547630575
334,"VIE,KUL",1108000.0,1297.0,VIE,KUL,9419.56414102164
335,"VIE,MNL",1240000.0,1294.0,VIE,MNL,9847.010369400134
336,"VIE,JNB",1000000.0,654.0,VIE,JNB,8338.128859350427
337,"VIE,FCO",234000.0,345.0,VIE,FCO,779.704109590334
338,"VIE,AMS",255000.0,436.0,VIE,AMS,959.479514642743
339,"VIE,MAD",286000.0,318.0,VIE,MAD,1805.957603371905
340,"VIE,SIN",1222000.0,1410.0,VIE,SIN,9704.56042583548
341,"VIE,LIM",1310000.0,1054.0,VIE,LIM,11270.994669044698
342,"VIE,BKK",971000.0,963.0,VIE,BKK,8451.039594654725
343,"VIE,ICN",982000.0,1472.0,VIE,ICN,8248.25142706789
344,"VIE,DOH",572000.0,1526.0,VIE,DOH,3968.5494457798154
